"","year","label","value_avg_ideology","value_avg_party","value_avg_scaled_ideology","value_avg_scaled_party","cor_avg_ideo","cor_avg_party","cor_with_ideo_scaled","cor_with_party_scaled","first_common_year","last_common_year","in_common_window","cosine_base","sorting_base","cosine_rebase","sorting_rebase","year0"
"26",2005,"LGBTQ",0.228114112954756,0.158045644590036,0.467634338563752,-1.0272868704444,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.518542005871091,NA,25
"27",2006,"LGBTQ",0.235584471219313,0.172711313809159,0.628974406382377,-0.650404066278186,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.679882073689715,NA,26
"28",2007,"LGBTQ",0.222648610829287,0.157192175253871,0.349593884229756,-1.04921958363175,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.400501551537095,NA,27
"29",2008,"LGBTQ",0.1918458298955,0.14886982467013,-0.31566507509459,-1.26308986656195,0.312697679516125,0.209010903684742,0.517954154435327,0.28057272225938,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,-0.264757407787251,0.806500000194416,28
"30",2009,"LGBTQ",0.232828257359203,0.168616818013209,0.569447444573519,-0.755625657885608,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.620355111880857,NA,29
"31",2010,"LGBTQ",0.245099388391607,0.192063375173357,0.834471562944456,-0.153088939067662,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.885379230251794,NA,30
"32",2011,"LGBTQ",0.228970512889786,0.173524336304341,0.486130322116943,-0.629510768246136,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,0.537037989424282,NA,31
"33",2012,"LGBTQ",0.265254663134068,0.215663942504423,1.26977242519091,0.45340557971283,0.308872536861167,0.188805406976803,0.488456340949076,0.140098632387703,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,1.32068009249825,0.777002186708164,32
"34",2013,"LGBTQ",0.273789299995567,0.200389889024077,1.45409810828091,0.0608883327568251,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,1.50500577558825,NA,33
"35",2014,"LGBTQ",0.252569558954354,0.191145696735117,0.995807576898229,-0.176671717184296,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,1.04671524420557,NA,34
"36",2015,"LGBTQ",0.270350296814275,0.211047082731927,1.37982469503238,0.334760120613593,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,1.43073236233972,NA,35
"37",2016,"LGBTQ",0.261300922048117,0.208297832662291,1.18438202859225,0.264109060636884,0.356376085055426,0.266699794976557,0.854782758279634,0.681641531260228,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,1.23528969589959,1.14332860403872,36
"38",2017,"LGBTQ",0.267573566631398,0.190760123629376,1.31985463467464,-0.186580291496965,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,1.37076230198198,NA,37
"39",2018,"LGBTQ",0.285212094647355,0.200268505117414,1.70080039464134,0.0577689724030332,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,1.75170806194867,NA,38
"40",2019,"LGBTQ",0.298276813147464,0.218274102292824,1.98296391266692,0.520482255565556,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,2.03387157997426,NA,39
"41",2020,"LGBTQ",0.282666002371475,0.209094351258211,1.64581150576678,0.284578236473021,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,1.69671917307412,NA,40
"42",2021,"LGBTQ",0.283975524976499,0.20366731017306,1.67409374584446,0.145112492909816,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,1.7250014131518,NA,41
"43",2022,"LGBTQ",0.319015056131017,0.237892695782952,2.43085535386861,1.02464680597798,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,2.48176302117595,NA,42
"44",2023,"LGBTQ",0.319090863010497,0.232858624817382,2.43249258285326,0.895279727426819,NA,NA,NA,NA,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,2.4834002501606,NA,43
"45",2024,"LGBTQ",0.325043860132668,0.251342846969806,2.56106164546061,1.37029286003948,0.370740409809722,0.305817892056416,0.965554096940392,0.953601145232301,1988,2024,TRUE,-0.0509076673073387,-0.288545845759089,2.61196931276795,1.25409994269948,44
